id_customer_main,customer,customer_day
ci_130,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 49% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 63% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 10:00 จะมีลูกค้าประมาณ 70% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 11:00 จะมีลูกค้าประมาณ 75% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 12:00 จะมีลูกค้าประมาณ 80% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 13:00 จะมีลูกค้าประมาณ 67% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 14:00 จะมีลูกค้าประมาณ 70% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 15:00 จะมีลูกค้าประมาณ 62% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 16:00 จะมีลูกค้าประมาณ 65% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 17:00 จะมีลูกค้าประมาณ 44% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 18:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 19:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 20:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 21:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 22:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 23:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันอาทิตย์
ci_130,โดยปกติแล้วเวลา 06:00 จะมีลูกค้าประมาณ 0% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_130,โดยปกติแล้วเวลา 07:00 จะมีลูกค้าประมาณ 44% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_130,โดยปกติแล้วเวลา 08:00 จะมีลูกค้าประมาณ 59% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
ci_130,โดยปกติแล้วเวลา 09:00 จะมีลูกค้าประมาณ 70% เทียบกับช่วงเวลาที่มีลูกค้ามากที่สุด,วันจันทร์
